prod_id,inj_id,distance_m,metric_distance_m,direction_factor,direction_cosine,kernel_type,kernel_params,kernel_score,weight,lag,tau,corr,overlap,lower_bound,upper_bound,t_diff_days,t_front_days
14,15,794.3034586539395,794.2739212196323,1.0,,idw,{'p': 4.0},10.449543656138275,0.0,1,1.0,-0.22515268962688179,180,1,2,2.130766939807144,32.130766939807145
14,26,1230.5597590242583,1230.5525573618709,1.0,,idw,{'p': 4.0},10.449543656138275,0.006826031080694089,1,1.0,0.02950472510096409,180,1,2,5.114411614458253,35.114411614458255
14,1,1118.3753943682593,1118.3750559755701,1.0,,idw,{'p': 4.0},10.449543656138275,0.025596690403103903,2,2.0,0.07548425027593195,179,1,2,4.2244510991156705,34.22445109911567
14,34,310.09241643542333,310.0590334609846,1.0,,idw,{'p': 4.0},10.449543656138275,0.0,2,2.0,-0.10864560706952986,179,1,2,0.324701369838838,30.324701369838838
14,36,637.1978905475836,637.197819925877,1.0,,idw,{'p': 4.0},10.449543656138275,0.967577278516202,2,2.0,0.30068061393725376,179,1,2,1.3713360897052156,31.371336089705217
22,24,543.4429840885701,543.4420455348389,1.0,,idw,{'p': 4.0},10.449543656138275,0.10896800618949588,1,1.0,0.9755103554933774,180,1,2,0.9974745313882376,30.99747453138824
22,1,320.5838383126792,320.5712585171821,1.0,,idw,{'p': 4.0},10.449543656138275,0.8140296864029648,2,2.0,0.882385791335262,179,1,2,0.34709192290589685,30.347091922905896
22,34,605.1450037096977,605.139503845857,1.0,,idw,{'p': 4.0},10.449543656138275,0.07113334883954961,2,2.0,0.9790733032841296,179,1,2,1.23681958234853,31.23681958234853
22,36,888.7690134658163,888.7661145638938,1.0,,idw,{'p': 4.0},10.449543656138275,0.003747101861664987,2,2.0,0.23997466059606706,179,1,2,2.66790474463078,32.66790474463078
22,7,884.0352822719461,883.934777798475,1.0,,idw,{'p': 4.0},10.449543656138275,0.002121856706324804,2,2.0,0.13295873391678656,179,1,2,2.6389780962094997,32.6389780962095
23,15,294.06419339642497,293.9430493103894,1.0,,idw,{'p': 4.0},10.449543656138275,0.0,1,1.0,-0.38935321243738574,180,1,2,0.2918244887516926,30.291824488751693
23,26,603.2916151802211,603.2637341551041,1.0,,idw,{'p': 4.0},10.449543656138275,0.0,1,1.0,-0.20337257915348392,180,1,2,1.229163850074131,31.22916385007413
23,1,2050.260078178903,2050.2599517559133,1.0,,idw,{'p': 4.0},10.449543656138275,0.023616409321467014,2,2.0,0.04178389444563297,179,1,2,14.197543246350076,44.19754324635008
23,34,1235.613670460893,1235.5984149511687,1.0,,idw,{'p': 4.0},10.449543656138275,0.0,2,2.0,-0.132362086064997,179,1,2,5.156440704932322,35.15644070493232
23,36,1224.3608392399728,1224.3601596607145,1.0,,idw,{'p': 4.0},10.449543656138275,0.9763835906785329,2,2.0,0.21969317392619506,179,1,2,5.063067550654342,35.06306755065434
27,15,474.54065025138823,474.53957542128177,1.0,,idw,{'p': 4.0},10.449543656138275,0.523484678375107,1,1.0,0.8714498183270971,180,1,2,0.7605717980347284,30.76057179803473
27,26,899.7946463969655,899.7931700033294,1.0,,idw,{'p': 4.0},10.449543656138275,0.04074050137272933,1,1.0,0.8766894850207504,180,1,2,2.734517629298515,32.734517629298516
27,1,1349.9915507505812,1349.9748749506264,1.0,,idw,{'p': 4.0},10.449543656138275,0.007392989108969525,2,2.0,0.806067606465373,179,1,2,6.1552644229393145,36.15526442293931
27,34,537.0401935248049,537.0386441971935,1.0,,idw,{'p': 4.0},10.449543656138275,0.31660538155994766,2,2.0,0.8645479849213432,179,1,2,0.9741064490055772,30.97410644900558
27,36,607.0383969833291,607.0073441170954,1.0,,idw,{'p': 4.0},10.449543656138275,0.11177644958324649,2,2.0,0.49816676727509196,179,1,2,1.2444665686856982,31.2444665686857
3,24,815.9480869261479,815.9473044617774,1.0,,idw,{'p': 4.0},10.449543656138275,0.025627707079886507,1,1.0,0.8577609594628475,180,1,2,2.2486381115210623,32.24863811152106
3,36,598.3129287254369,598.3081552009882,1.0,,idw,{'p': 4.0},10.449543656138275,0.040556222981893125,1,1.0,0.39243277217531186,180,1,2,1.2090525798036842,31.209052579803686
3,1,468.7369201623018,468.7275741016738,1.0,,idw,{'p': 4.0},10.449543656138275,0.210834003733991,2,2.0,0.7684767687367469,179,1,2,0.7420554320119237,30.742055432011924
3,34,353.86272372347986,353.85417284666835,1.0,,idw,{'p': 4.0},10.449543656138275,0.7213199962107305,2,2.0,0.8539517511964821,179,1,2,0.4229061354649674,30.422906135464967
3,7,1177.2466328709588,1177.1697974829333,1.0,,idw,{'p': 4.0},10.449543656138275,0.001662069993498863,2,2.0,0.24099821656727036,179,1,2,4.680298634844977,34.68029863484497
31,15,310.3199920146945,310.30349247792884,1.0,,idw,{'p': 4.0},10.449543656138275,0.8948848203192512,1,1.0,0.88146717598296,180,1,2,0.3252135785492821,30.32521357854928
31,26,616.6491775311224,616.6489232535882,1.0,,idw,{'p': 4.0},10.449543656138275,0.05574764317549846,1,1.0,0.8563883891457068,180,1,2,1.2843142405284842,31.284314240528484
31,1,1521.3971958925422,1521.3904815232972,1.0,,idw,{'p': 4.0},10.449543656138275,0.00129895232947607,2,2.0,0.7393470445957262,179,1,2,7.81765917462782,37.81765917462782
31,34,760.7394288586931,760.7388964817367,1.0,,idw,{'p': 4.0},10.449543656138275,0.023335452201950588,2,2.0,0.8303306304389344,179,1,2,1.954639124844691,31.95463912484469
