unique_id,mae,rmse
33,360.21552628777084,360.224130068028
31,349.66758767110423,350.0922115538989
40,339.8720226044375,340.71867915252074
27,264.83441188777084,265.31311743490204
3,212.84345077110416,213.12876964706302
48,129.37756083777083,130.09335548294894
22,100.72846628777084,100.73280499309098
35,79.49931875610417,79.49946145084984
38,64.16885662610419,64.1692806677739
50,37.08405121277084,37.08430462526946
45,35.06044829443751,35.319643894844525
14,3.7857907656041765,3.788515232270635
23,0.4196064496041769,0.4360351372785704
