unique_id,mae,rmse
33,285.09501147768555,285.1091862447652
31,274.54799601775716,275.09684344420964
40,264.7530438457845,265.84831623960343
27,189.71389707768557,190.39387375564993
3,137.72317883007813,138.17853975224077
23,74.70281443754818,74.707234293901
14,71.33663012154817,71.34126726926513
48,54.2572888967448,55.97405786839734
45,40.05982364658854,40.286459137881515
50,38.03912498444011,38.04815568283972
22,25.607951477685543,25.649262837462533
38,10.953654542216796,10.990833882289921
35,4.37880394601888,4.458920082583767
