prod_id,inj_id,distance_m,metric_distance_m,direction_factor,direction_cosine,kernel_type,kernel_params,kernel_score,weight,lag,tau,corr,granger_score,mutual_info,psd_corr,conditional_mi,causal_score,overlap,lower_bound,upper_bound,t_diff_days,t_front_days,kernel_weight,attn_alpha,attn_minus_kernel,attn_alpha_train_mean,attn_alpha_train_last,attn_alpha_full_last,crm_weight,regime_labels
14,15,794.3034586539395,794.2739212196323,1.0,,idw,{'p': 4.0},10.449543656138271,0.021960643131379284,1,1.0,-0.22515268962688179,0.06152686081079281,0.43772871706185934,0.9888796735496237,0.41889410140485445,0.4134630663229882,180,1,2,2.130766939807144,32.130766939807145,0.021960643131379284,0.3309893039538492,0.3090286608224699,0.3309893039538492,0.16298472655979435,0.23197385758586925,0.3309893039538492,0|1|2|3|4
14,26,1230.5597590242583,1230.5525573618709,1.0,,idw,{'p': 4.0},10.449543656138271,0.003923952714960047,1,1.0,0.02950472510096409,0.004848827075072228,0.41056650753484103,0.9935091533302143,0.3853776234553922,0.38137551592107927,180,1,2,5.114411614458253,35.114411614458255,0.003923952714960047,0.07645796192791846,0.07253400921295841,0.07645796192791846,0.1582416266997692,0.13918992744580522,0.07645796192791846,0|1|2|3|4
14,1,1118.3753943682593,1118.3750559755701,1.0,,idw,{'p': 4.0},10.449543656138271,0.006446496164642637,2,2.0,0.07548425027593195,0.0019469663762793118,0.3700019372736346,0.9880273364564416,0.36372195934285434,0.36384578060650463,179,1,2,4.2244510991156705,34.22445109911567,0.006446496164642637,0.08086229696882415,0.0744158008041815,0.08086229696882415,0.16204005074531397,0.143376188553407,0.08086229696882415,0|1|2|3|4
14,34,310.09241643542333,310.0590334609846,1.0,,idw,{'p': 4.0},10.449543656138271,0.864687949823205,2,2.0,-0.10864560706952986,0.0017537698437391778,0.4033291632199951,0.9901344121366409,0.3893930580744305,0.3780484095498,179,1,2,0.324701369838838,30.324701369838838,0.864687949823205,0.25157878713442566,-0.6131091626887792,0.25157878713442566,0.31455756634276116,0.29899386468895733,0.25157878713442566,0|1|2|3|4
14,36,637.1978905475836,637.197819925877,1.0,,idw,{'p': 4.0},10.449543656138271,0.10298095816581304,2,2.0,0.30068061393725376,0.014866424990020896,0.361027413972934,0.8796039288295108,0.41758235610417843,0.35206961211991644,179,1,2,1.3713360897052156,31.371336089705217,0.10298095816581304,0.2601116500149826,0.15713069184916956,0.2601116500149826,0.20217602965236142,0.18646616172596112,0.2601116500149826,0|1|2|3|4
22,24,543.4429840885701,543.4420455348389,1.0,,idw,{'p': 4.0},10.449543656138271,0.10192948340143987,1,1.0,0.9755103554933774,0.0004590471555080882,0.4635642838999267,0.9977794007888725,0.43794886827806667,0.40447816207389037,180,1,2,0.9974745313882376,30.99747453138824,0.10192948340143987,0.04231412952701548,-0.05961535387442439,0.04231412952701548,0.030779511243593995,0.031583443624396836,0.04231412952701548,0|1|2|3|4
22,1,320.5838383126792,320.5712585171821,1.0,,idw,{'p': 4.0},10.449543656138271,0.8144746121335072,2,2.0,0.882385791335262,0.2995262954454319,0.4149122631647803,0.9975706025502351,0.36461228003987056,0.48351384487136284,179,1,2,0.34709192290589685,30.347091922905896,0.8144746121335072,0.2569240352741709,-0.5575505768593363,0.2569240352741709,0.14990688096900925,0.15148176961998752,0.2569240352741709,0|1|2|3|4
22,34,605.1450037096977,605.139503845857,1.0,,idw,{'p': 4.0},10.449543656138271,0.07494184321551074,2,2.0,0.9790733032841296,0.669967417301278,0.474086730251854,0.9987845968381289,0.4414876231464268,0.6426946779705933,179,1,2,1.23681958234853,31.23681958234853,0.07494184321551074,0.035292527064023305,-0.03964931615148744,0.035292527064023305,0.02505515171206576,0.02576866969225767,0.035292527064023305,0|1|2|3|4
22,36,888.7690134658163,888.7661145638938,1.0,,idw,{'p': 4.0},10.449543656138271,0.005007786319769804,2,2.0,0.23997466059606706,0.028949977350663254,0.27876767513312584,0.8440597164739299,0.2260743698136061,0.29648589337949677,179,1,2,2.66790474463078,32.66790474463078,0.005007786319769804,0.37429270211004884,0.36928491579027906,0.37429270211004884,0.045718381823877295,0.7218137933356084,0.37429270211004884,0|1|2|3|4
22,7,884.0352822719461,883.934777798475,1.0,,idw,{'p': 4.0},10.449543656138271,0.003646274929772371,2,2.0,0.13295873391678656,0.0319630821847085,0.2993278297707947,0.6571707290148545,0.23871506400502782,0.2682268330996115,179,1,2,2.6389780962094997,32.6389780962095,0.003646274929772371,0.29117660602474155,0.28753033109496917,0.29117660602474155,0.7485400742514537,0.06935232372774967,0.29117660602474155,0|1|2|3|4
23,15,294.06419339642497,293.9430493103894,1.0,,idw,{'p': 4.0},10.449543656138271,0.9400343174110523,1,1.0,-0.38935321243738574,0.07520545556097245,0.42040511112870743,0.988679592790511,0.371239768444056,0.4058653266096632,180,1,2,0.2918244887516926,30.291824488751693,0.9400343174110523,0.27004566993979057,-0.6699886474712617,0.27004566993979057,0.16550779173348348,0.16687543440394445,0.27004566993979057,0|1|2|3|4
23,26,603.2916151802211,603.2637341551041,1.0,,idw,{'p': 4.0},10.449543656138271,0.05160666246880257,1,1.0,-0.20337257915348392,0.08166710542716153,0.3919903715873592,0.9924669949813558,0.33746598295794794,0.39529389481567767,180,1,2,1.229163850074131,31.22916385007413,0.05160666246880257,0.021892296655287802,-0.02971436581351477,0.021892296655287802,0.015886445796645113,0.016287947400354105,0.021892296655287802,0|1|2|3|4
23,1,2050.260078178903,2050.2599517559133,1.0,,idw,{'p': 4.0},10.449543656138271,0.00040328226026739616,2,2.0,0.04178389444563297,0.001122588404098084,0.35614920180852105,0.9835721824765262,0.3033221444869884,0.34945042465234416,179,1,2,14.197543246350076,44.19754324635008,0.00040328226026739616,0.011781926786523494,0.011378644526256098,0.011781926786523494,0.006882417075501244,0.0072099578441056425,0.011781926786523494,0|1|2|3|4
23,34,1235.613670460893,1235.5984149511687,1.0,,idw,{'p': 4.0},10.449543656138271,0.0027011158992788858,2,2.0,-0.132362086064997,0.0009374457841913995,0.3888160752143897,0.9870385114987692,0.33155955755233696,0.3641145645213883,179,1,2,5.156440704932322,35.15644070493232,0.0027011158992788858,0.36495040015810387,0.36224928425882497,0.36495040015810387,0.04403649679548032,0.719951981254088,0.36495040015810387,0|1|2|3|4
23,36,1224.3608392399728,1224.3601596607145,1.0,,idw,{'p': 4.0},10.449543656138271,0.005254621960598879,2,2.0,0.21969317392619506,0.01130918916731572,0.3647016082011087,0.8877934231767929,0.41628804649675066,0.3533705902787643,179,1,2,5.063067550654342,35.06306755065434,0.005254621960598879,0.3313297064602943,0.3260750844996954,0.3313297064602943,0.7676868485988899,0.0896746790975078,0.3313297064602943,0|1|2|3|4
27,15,474.54065025138823,474.53957542128177,1.0,,idw,{'p': 4.0},10.449543656138271,0.5151850083238964,1,1.0,0.8714498183270971,2.7411020510564566e-05,0.45946859047133476,0.964750951388166,0.4649929613478111,0.40054930547838397,180,1,2,0.7605717980347284,30.76057179803473,0.5151850083238964,0.135795205546454,-0.3793898027774424,0.135795205546454,0.11158279016900663,0.11397692444370616,0.135795205546454,0|1|2|3|4
27,26,899.7946463969655,899.7931700033294,1.0,,idw,{'p': 4.0},10.449543656138271,0.039999342459388715,1,1.0,0.8766894850207504,0.01174227138104168,0.4443197613919218,0.9662637188080592,0.4547907873475179,0.39887708526468063,180,1,2,2.734517629298515,32.734517629298516,0.039999342459388715,0.0431237111616697,0.0031243687022809857,0.0431237111616697,0.022856423461570928,0.023973485957885055,0.0431237111616697,0|1|2|3|4
