data_loss,physics_weight,physics_loss,physics_crm_residual,physics_nonnegative,physics_cumulative_monotonic,physics_allocation_simplex,physics_shutin_consistency,physics_temporal_smoothness,epoch
148.0947265625,0.0,0.0,0.9072884917259216,0.020568981766700745,0.0,2.73285677780723e-16,0.0,23.80341339111328,1
148.66888427734375,0.0,0.0,1.2141247987747192,0.005798134952783585,0.0,2.73285677780723e-16,0.0,23.61032485961914,1
149.25962829589844,0.0,0.0,0.5473448038101196,0.004171815235167742,0.0,2.73285677780723e-16,0.0,23.102153778076172,1
149.8349151611328,0.0,0.0,0.6383285522460938,0.0004065857210662216,0.0,0.0,0.0,30.433807373046875,1
150.41650390625,0.0,0.0,0.6232291460037231,0.0,0.0,0.0,0.0,29.042373657226562,1
150.9639434814453,0.0,0.0,1.2188222408294678,0.0,0.0,2.73285677780723e-16,0.0,31.29786491394043,1
151.52284240722656,0.0,0.0,1.6640441417694092,0.0,0.0,0.0,0.0,30.47939682006836,1
152.0927276611328,0.0,0.0,4.238670825958252,0.0,0.0,0.0,0.0,33.53221893310547,1
152.61935424804688,0.0,0.0,4.968831539154053,0.0,0.0,0.0,0.0,35.731441497802734,1
153.18421936035156,0.0,0.0,7.58400821685791,0.0,0.0,0.0,0.0,33.44517135620117,1
153.70553588867188,0.0,0.0,9.068832397460938,0.0,0.0,0.0,0.0,32.925296783447266,1
154.20608520507812,0.0,0.0,12.55754566192627,0.0,0.0,0.0,0.0,34.333187103271484,1
154.7458953857422,0.0,0.0,8.006546020507812,0.0,0.0,2.73285677780723e-16,0.0,31.770751953125,1
155.2325439453125,0.0,0.0,0.5979419350624084,0.0,0.0,0.0,0.0,35.49026870727539,1
155.68731689453125,0.0,0.0,2.2896552085876465,0.0,0.0,0.0,0.0,35.55628967285156,1
156.176025390625,0.0,0.0,2.7335665225982666,0.0,0.0,0.0,0.0,35.1776237487793,1
156.6553497314453,0.0,0.0,3.0860586166381836,0.0,0.0,2.73285677780723e-16,0.0,36.12983703613281,1
157.08087158203125,0.0,0.0,3.6005425453186035,0.0,0.0,0.0,0.0,32.71858215332031,1
157.52272033691406,0.0,0.0,4.907591819763184,0.0,0.0,2.73285677780723e-16,0.0,35.8984489440918,1
157.91183471679688,0.0,0.0,2.7724506855010986,0.0,0.0,0.0,0.0,34.118896484375,1
158.20950317382812,0.0,0.0,2.345892906188965,0.0,0.0,8.198570068723894e-16,0.0,35.19300842285156,1
158.6187744140625,0.0,0.0,6.958803653717041,0.0,0.0,0.0,0.0,37.61013412475586,1
159.0149688720703,0.0,0.0,6.4002838134765625,0.0,0.0,0.0,0.0,33.30787658691406,1
159.25791931152344,0.0,0.0,5.063138008117676,0.0,0.0,0.0,0.0,35.986995697021484,1
159.53045654296875,0.0,0.0,4.18887186050415,0.0,0.0,0.0,0.0,32.2453727722168,1
