unique_id,mae,rmse
33,269.62589399518225,269.6364550599562
31,259.07795537851564,259.6424621859738
40,249.28239031184896,250.4236195595344
27,174.2447795951823,174.9602407571316
3,122.25382483634439,122.73896987715185
23,90.1700169420241,90.17034082610311
14,86.80383135445834,86.80406526976499
45,55.52918654128255,55.705540340064914
50,53.50560651113281,53.50625264680253
48,38.78792727361654,41.07140538279129
38,26.420798554667968,26.422439281880447
35,11.09033896779948,11.093183371022207
22,10.138808563867185,10.174960927189115
