unique_id,mae,rmse
33,359.90370966495726,359.91198401607534
31,349.3557710482907,349.77712040562466
40,339.56020598162394,340.40213785193765
27,264.5225952649573,264.9974987953602
3,212.53163414829064,212.81384700515727
48,129.06574421495728,129.7753712000977
22,100.41664966495729,100.42084493434044
35,79.18750213329064,79.18785453095083
38,63.85704000329064,63.85763531888616
50,36.7722345899573,36.77287818713947
45,34.74863167162397,35.00764672623076
14,3.473974142790634,3.4826351852090123
23,0.208380853925176,0.2335670603970968
