batch_size,data_loss_wlpr,data_loss_womr,data_loss_fw,data_loss,physics_weight,physics_loss,epoch
2.0,0.8455082178115845,0.943875253200531,7.543623924255371,3.1110026836395264,0.0,0.0,1
2.0,0.8877958655357361,0.592795729637146,7.361364364624023,2.9473185539245605,0.0,0.0,1
2.0,0.8515650629997253,0.4030593931674957,7.092568397521973,2.782397747039795,0.0,0.0,1
2.0,0.8455360531806946,0.8104622960090637,6.683159351348877,2.779719352722168,0.0,0.0,1
2.0,0.7192614674568176,0.11967422068119049,6.741607666015625,2.5268478393554688,0.0,0.0,1
2.0,0.8000326752662659,1.1111434698104858,6.280512809753418,2.730562925338745,0.0,0.0,1
2.0,0.7701849341392517,0.5750129818916321,5.9407057762146,2.4286346435546875,0.0,0.0,1
2.0,0.8110073804855347,1.3197070360183716,5.569086074829102,2.5666003227233887,0.0,0.0,1
2.0,0.7508838176727295,0.7099510431289673,5.479337215423584,2.3133907318115234,0.0,0.0,1
2.0,0.8187309503555298,0.2880074977874756,5.3788981437683105,2.161879062652588,0.0,0.0,1
2.0,0.7822262048721313,0.44873398542404175,4.946675777435303,2.0592119693756104,0.0,0.0,1
2.0,0.7800284624099731,0.49329453706741333,4.577997207641602,1.9504401683807373,0.0,0.0,1
2.0,0.890978991985321,0.5588979721069336,4.262400150299072,1.9040923118591309,0.0,0.0,1
2.0,0.7529571056365967,0.71620774269104,3.8758904933929443,1.78168523311615,0.0,0.0,1
2.0,0.8238767981529236,0.26455551385879517,3.6514627933502197,1.5799649953842163,0.0,0.0,1
2.0,0.8282251954078674,0.8972132802009583,2.801638603210449,1.5090258121490479,0.0,0.0,1
2.0,0.9281356334686279,0.39425888657569885,2.4411442279815674,1.2545130252838135,0.0,0.0,1
2.0,0.9061561822891235,0.4908190965652466,1.8963677883148193,1.0977810621261597,0.0,0.0,1
2.0,0.8174288868904114,0.31242093443870544,1.3354604244232178,0.8217700719833374,0.0,0.0,1
