prod_id,inj_id,distance_m,metric_distance_m,direction_factor,direction_cosine,kernel_type,kernel_params,kernel_score,weight,lag,tau,corr,granger_score,mutual_info,psd_corr,conditional_mi,causal_score,overlap,lower_bound,upper_bound,t_diff_days,t_front_days,attn_alpha,attn_minus_kernel,attn_alpha_train_mean,attn_alpha_train_last,attn_alpha_full_last
14,15,794.3034586539395,794.2739212196323,1.0,,idw,{'p': 4.0},10.449543656138275,0.02196064313137928,1,1.0,-0.22515268962688179,0.061526860810793,0.43772871706185923,0.9888796735496237,0.4188941014048544,0.41346306632298824,180,1,2,2.130766939807144,32.130766939807145,0.25014040360031004,0.22817976046893076,0.25014040360031004,0.1531071688285891,0.2384796603036488
14,26,1230.5597590242583,1230.5525573618709,1.0,,idw,{'p': 4.0},10.449543656138275,0.003923952714960045,1,1.0,0.02950472510096409,0.004848827075071696,0.410566507534841,0.9935091533302143,0.38537762345539217,0.38137551592107904,180,1,2,5.114411614458253,35.114411614458255,0.07967341889853462,0.07574946618357457,0.07967341889853462,0.14837654622922009,0.13971162443334204
14,1,1118.3753943682593,1118.3750559755701,1.0,,idw,{'p': 4.0},10.449543656138275,0.006446496164642635,2,2.0,0.07548425027593195,0.0019469663762791355,0.3700019372736346,0.9880273364564416,0.36372195934285434,0.3638457806065046,179,1,2,4.2244510991156705,34.22445109911567,0.08832553081275905,0.08187903464811642,0.08832553081275905,0.15482882879114773,0.14343565978535605
14,34,310.09241643542333,310.0590334609846,1.0,,idw,{'p': 4.0},10.449543656138275,0.864687949823205,2,2.0,-0.10864560706952986,0.0017537698437393547,0.4033291632199951,0.990134412136641,0.3893930580744305,0.37804840954980007,179,1,2,0.324701369838838,30.324701369838838,0.2806202396297887,-0.5840677101934162,0.2806202396297887,0.32855985967917223,0.29535855224147156
14,36,637.1978905475836,637.197819925877,1.0,,idw,{'p': 4.0},10.449543656138275,0.10298095816581303,2,2.0,0.30068061393725376,0.014866424990020544,0.361027413972934,0.879603928829511,0.41758235610417843,0.35206961211991633,179,1,2,1.3713360897052156,31.371336089705217,0.30124040705860755,0.1982594488927945,0.30124040705860755,0.21512759647187082,0.1830145032361815
22,24,543.4429840885701,543.4420455348389,1.0,,idw,{'p': 4.0},10.449543656138275,0.10192948340143987,1,1.0,0.9755103554933774,0.00045904715550865215,0.46356428389992665,0.9977794007888725,0.4379488682780666,0.40447816207389053,180,1,2,0.9974745313882376,30.99747453138824,0.1343675369520304,0.03243805355059054,0.1343675369520304,0.18149077381619405,0.0425629005105298
22,1,320.5838383126792,320.5712585171821,1.0,,idw,{'p': 4.0},10.449543656138275,0.8144746121335072,2,2.0,0.882385791335262,0.2995262954454317,0.4149122631647803,0.9975706025502351,0.36461228003987056,0.4835138448713628,179,1,2,0.34709192290589685,30.347091922905896,0.37156129358193923,-0.442913318551568,0.37156129358193923,0.445147454265933,0.17299032239977222
22,34,605.1450037096977,605.139503845857,1.0,,idw,{'p': 4.0},10.449543656138275,0.07494184321551074,2,2.0,0.9790733032841296,0.6699674173012785,0.474086730251854,0.998784596838129,0.4414876231464268,0.6426946779705935,179,1,2,1.23681958234853,31.23681958234853,0.11699313137366289,0.04205128815815215,0.11699313137366289,0.1588166448809124,0.035513319973882504
22,36,888.7690134658163,888.7661145638938,1.0,,idw,{'p': 4.0},10.449543656138275,0.005007786319769804,2,2.0,0.23997466059606706,0.02894997735066314,0.27876767513312584,0.8440597164739301,0.2260743698136061,0.29648589337949677,179,1,2,2.66790474463078,32.66790474463078,0.2603365670603786,0.25532878074060883,0.2603365670603786,0.06731178446799052,0.7301830071931799
22,7,884.0352822719461,883.934777798475,1.0,,idw,{'p': 4.0},10.449543656138275,0.0036462749297723708,2,2.0,0.13295873391678656,0.03196308218470839,0.2993278297707947,0.6571707290148545,0.23871506400502782,0.26822683309961143,179,1,2,2.6389780962094997,32.6389780962095,0.11674147103198876,0.11309519610221638,0.11674147103198876,0.14723334256897005,0.01875044992263556
23,15,294.06419339642497,293.9430493103894,1.0,,idw,{'p': 4.0},10.449543656138275,0.9400343174110523,1,1.0,-0.38935321243738574,0.07520545556097245,0.4204051111287074,0.988679592790511,0.3712397684440559,0.4058653266096631,180,1,2,0.2918244887516926,30.291824488751693,0.39501548864874275,-0.5450188287623094,0.39501548864874275,0.3127073419764005,0.42120899180170374
23,26,603.2916151802211,603.2637341551041,1.0,,idw,{'p': 4.0},10.449543656138275,0.05160666246880257,1,1.0,-0.20337257915348392,0.08166710542716153,0.39199037158735917,0.992466994981356,0.3374659829579479,0.39529389481567767,180,1,2,1.229163850074131,31.22916385007413,0.08079929125643309,0.02919262878763052,0.08079929125643309,0.05910011319988025,0.09095316030848413
23,1,2050.260078178903,2050.2599517559133,1.0,,idw,{'p': 4.0},10.449543656138275,0.00040328226026739616,2,2.0,0.04178389444563297,0.001122588404098084,0.35614920180852105,0.9835721824765264,0.3033221444869884,0.3494504246523442,179,1,2,14.197543246350076,44.19754324635008,0.05983763094709485,0.059434348686827454,0.05983763094709485,0.04213567062347326,0.06812105009883443
23,34,1235.613670460893,1235.5984149511687,1.0,,idw,{'p': 4.0},10.449543656138275,0.0027011158992788858,2,2.0,-0.132362086064997,0.0009374457841913995,0.3888160752143897,0.9870385114987692,0.33155955755233696,0.3641145645213883,179,1,2,5.156440704932322,35.15644070493232,0.1026735961759465,0.09997248027666761,0.1026735961759465,0.04887049991937099,0.1440426863050803
23,36,1224.3608392399728,1224.3601596607145,1.0,,idw,{'p': 4.0},10.449543656138275,0.005254621960598879,2,2.0,0.21969317392619506,0.011309189167315539,0.3647016082011087,0.887793423176793,0.41628804649675066,0.3533705902787643,179,1,2,5.063067550654342,35.06306755065434,0.3616739929717829,0.356419371011184,0.3616739929717829,0.5371863742808751,0.2756741114858974
27,15,474.54065025138823,474.53957542128177,1.0,,idw,{'p': 4.0},10.449543656138275,0.5151850083238962,1,1.0,0.8714498183270971,2.741102051000974e-05,0.4594685904713347,0.964750951388166,0.46499296134781104,0.4005493054783838,180,1,2,0.7605717980347284,30.76057179803473,0.2044671794640257,-0.31071782885987054,0.2044671794640257,0.34327294481170795,0.13710857652666886
27,26,899.7946463969655,899.7931700033294,1.0,,idw,{'p': 4.0},10.449543656138275,0.039999342459388715,1,1.0,0.8766894850207504,0.011742271381041315,0.4443197613919217,0.9662637188080592,0.4547907873475178,0.39887708526468046,180,1,2,2.734517629298515,32.734517629298516,0.06671002435841453,0.026710681899025812,0.06671002435841453,0.13095912482282318,0.03476632297322208
27,1,1349.9915507505812,1349.9748749506264,1.0,,idw,{'p': 4.0},10.449543656138275,0.0074917468192115455,2,2.0,0.806067606465373,0.1303006381015076,0.4040437880176036,0.9619218076608913,0.38788486119399646,0.41738545045208647,179,1,2,6.1552644229393145,36.15526442293931,0.04418789657261501,0.03669614975340346,0.04418789657261501,0.0890794701204137,0.021439146586045444
27,34,537.0401935248049,537.0386441971935,1.0,,idw,{'p': 4.0},10.449543656138275,0.32027099387950686,2,2.0,0.8645479849213432,0.12430989779539947,0.4621810838931163,0.9640157713359263,0.4642393822341921,0.4446018509986388,179,1,2,0.9741064490055772,30.97410644900558,0.2692671991705739,-0.05100379470893296,0.2692671991705739,0.2553705289793208,0.7554357331047087
27,36,607.0383969833291,607.0073441170954,1.0,,idw,{'p': 4.0},10.449543656138275,0.11705290851799671,2,2.0,0.49816676727509196,0.01916085571100135,0.2795599078059585,0.8331146000896659,0.22887061373187223,0.29152778391835205,179,1,2,1.2444665686856982,31.2444665686857,0.4153677004343708,0.2983147919163741,0.4153677004343708,0.18131793126573442,0.05125022080935506
