data_loss,batch_size,physics_weight,physics_loss,physics_crm_residual,physics_nonnegative,physics_cumulative_monotonic,physics_allocation_simplex,physics_shutin_consistency,physics_temporal_smoothness,epoch
164.70770263671875,4.0,0.0,0.0,3.9307398796081543,0.06114721857011318,0.0,0.0,0.0,5.121471777558327,1
156.6531524658203,4.0,0.0,0.0,0.3944019041955471,0.05735244229435921,0.0,1.366428388903615e-16,0.0,25.653214380145073,1
164.73513793945312,4.0,0.0,0.0,1.1537113562226295,0.047069596126675606,0.0,0.0,0.0,20.126252435147762,1
162.9055938720703,4.0,0.0,0.0,0.9848863072693348,0.03791473247110844,0.0,2.73285677780723e-16,0.0,20.90264603495598,1
171.70838928222656,4.0,0.0,0.0,0.39168524369597435,0.03480552136898041,0.0,2.73285677780723e-16,0.0,28.149112701416016,1
166.47406005859375,4.0,0.0,0.0,15.678697638213634,0.0336790457367897,0.0,0.0,0.0,12.16511594504118,1
160.7451934814453,4.0,0.0,0.0,0.8521390482783318,0.03630042541772127,0.0,0.0,0.0,5.720570161938667,1
161.21034240722656,4.0,0.0,0.0,1.4332513995468616,0.03339038882404566,0.0,2.0496425171809735e-16,0.0,22.154375083744526,1
156.63461303710938,4.0,0.0,0.0,1.635960690677166,0.03638936672359705,0.0,0.0,0.0,24.775846928358078,1
166.05416870117188,4.0,0.0,0.0,1.6304383352398872,0.03742959164083004,0.0,0.0,0.0,23.01499129831791,1
163.69459533691406,4.0,0.0,0.0,2.9969297647476196,0.03770572040230036,0.0,6.832141944518075e-17,0.0,21.945053800940514,1
157.00205993652344,4.0,0.0,0.0,33.779942497611046,0.03773424867540598,0.0,6.832141944518075e-17,0.0,9.331728026270866,1
169.2896270751953,4.0,0.0,0.0,2.3669642508029938,0.03739765007048845,0.0,0.0,0.0,22.555026814341545,1
161.5490264892578,4.0,0.0,0.0,2.8850751519203186,0.03663961589336395,0.0,0.0,0.0,16.686768978834152,1
156.58291625976562,4.0,0.0,0.0,3.052800714969635,0.03460098337382078,0.0,6.832141944518075e-17,0.0,9.188420236110687,1
158.88522338867188,4.0,0.0,0.0,6.014487385749817,0.03163526253774762,0.0,0.0,0.0,14.483907289803028,1
164.8740997314453,4.0,0.0,0.0,9.650203734636307,0.028823418077081442,0.0,0.0,0.0,12.826794303953648,1
162.8336639404297,2.0,0.0,0.0,52.01970624923706,0.025382690131664276,0.0,0.0,0.0,17.98241376876831,1
170.32174682617188,4.0,0.0,0.0,46.81047797203064,0.019886229652911425,0.0,0.0,0.0,21.54977411031723,2
172.68670654296875,4.0,0.0,0.0,17.600576519966125,0.016724304761737585,0.0,0.0,0.0,18.810425646603107,2
160.1282958984375,4.0,0.0,0.0,3906.2118389606476,0.010818609269335866,0.0,6.832141944518075e-17,0.0,19.614046216011047,2
164.1638641357422,4.0,0.0,0.0,17.727131366729736,0.003882432240061462,0.0,0.0,0.0,25.408720195293427,2
171.5913543701172,4.0,0.0,0.0,74.24580335617065,0.0006870642973808572,0.0,0.0,0.0,18.657904416322708,2
153.3261260986328,4.0,0.0,0.0,171.08782696723938,4.5406894059851766e-05,0.0,0.0,0.0,0.8015812635421753,2
167.0698699951172,4.0,0.0,0.0,3143.241237640381,0.0,0.0,6.832141944518075e-17,0.0,17.45572277903557,2
155.55917358398438,4.0,0.0,0.0,69.1384506225586,0.0,0.0,0.0,0.0,25.97980786859989,2
157.23648071289062,4.0,0.0,0.0,46.5590283870697,0.0,0.0,2.0496425833554225e-16,0.0,34.488243103027344,2
160.86257934570312,4.0,0.0,0.0,27.05293881893158,0.0,0.0,0.0,0.0,25.62293864041567,2
163.5389862060547,4.0,0.0,0.0,1418.5115327835083,0.0,0.0,0.0,0.0,15.88752667605877,2
171.7490997314453,4.0,0.0,0.0,95.1474461555481,0.0,0.0,0.0,0.0,28.274227619171143,2
160.6053009033203,4.0,0.0,0.0,14841.975176334381,0.0,0.0,6.832141944518075e-17,0.0,11.152898333966732,2
147.71803283691406,4.0,0.0,0.0,536.0901169776917,0.0,0.0,1.366428388903615e-16,0.0,14.947951212525368,2
159.95339965820312,4.0,0.0,0.0,151.6207070350647,0.0,0.0,6.832141944518075e-17,0.0,15.374940350651741,2
165.9839324951172,4.0,0.0,0.0,305.29907417297363,0.0,0.0,0.0,0.0,22.381787948310375,2
154.93649291992188,4.0,0.0,0.0,444.7892608642578,0.0,0.0,0.0,0.0,7.149187497794628,2
153.03932189941406,2.0,0.0,0.0,168.20388793945312,0.0,0.0,0.0,0.0,17.12074849009514,2
162.3278350830078,4.0,0.0,0.0,30082.308787345886,0.0,0.0,6.832141944518075e-17,0.0,26.447502851486206,3
154.7793731689453,4.0,0.0,0.0,27041.249695777893,0.0,0.0,0.0,0.0,18.34665786474943,3
162.2783660888672,4.0,0.0,0.0,150179.76516151428,0.0,0.0,6.832141944518075e-17,0.0,18.779776692390442,3
