DATA;well;TYPE;WLPT;WLPR;WOMT;WOMR;WWIR;WWIT;WTHP;WBHP;WLPT_Diff;WOMT_Diff;WWIT_Diff;;;
01.12.2010;1;INJ;17665.67229;0;4870.00384;0;161.3417828;177509.6547;194.28558;240;0;0;5001.595268;;;
01.01.2011;1;INJ;17665.67229;0;4870.00384;0;161.7221231;182523.0405;194.3527943;240;0;0;5013.385816;;;
01.02.2011;1;INJ;17665.67229;0;4870.00384;0;162.0780829;187061.2268;194.4052945;240;0;0;4538.18632;;;
01.03.2011;1;INJ;17665.67229;0;4870.00384;0;162.4798415;192098.1019;194.4565128;240;0;0;5036.875086;;;
01.04.2011;1;INJ;17665.67229;0;4870.00384;0;162.879185;196984.4775;194.4988185;240;0;0;4886.375549;;;
01.05.2011;1;INJ;17665.67229;0;4870.00384;0;163.305662;202046.953;194.5336508;240;0;0;5062.475521;;;
01.06.2011;1;INJ;17665.67229;0;4870.00384;0;163.7338417;206958.9683;194.5583947;240;0;0;4912.015251;;;
01.07.2011;1;INJ;17665.67229;0;4870.00384;0;164.1917517;212048.9126;194.5749965;240;0;0;5089.944303;;;
01.08.2011;1;INJ;17665.67229;0;4870.00384;0;164.6632539;217153.4734;194.5835257;240;0;0;5104.560871;;;
01.09.2011;1;INJ;17665.67229;0;4870.00384;0;165.1293318;222107.3534;194.5856605;240;0;0;4953.879954;;;
01.10.2011;1;INJ;17665.67229;0;4870.00384;0;165.6184628;227241.5257;194.5821474;240;0;0;5134.172346;;;
01.11.2011;1;INJ;17665.67229;0;4870.00384;0;166.0945616;232224.3626;194.5749551;240;0;0;4982.836849;;;
01.12.2011;1;INJ;17665.67229;0;4870.00384;0;166.5907826;237388.6768;194.5631863;240;0;0;5164.31426;;;
01.01.2012;1;INJ;17665.67229;0;4870.00384;0;167.0931527;242568.5646;194.5467642;240;0;0;5179.887733;;;
01.02.2012;1;INJ;17665.67229;0;4870.00384;0;167.5685374;247428.0522;194.5273932;240;0;0;4859.487586;;;
01.03.2012;1;INJ;17665.67229;0;4870.00384;0;168.0803994;252638.5445;194.5028776;240;0;0;5210.492381;;;
01.04.2012;1;INJ;17665.67229;0;4870.00384;0;168.5784081;257695.8968;194.4759679;240;0;0;5057.352242;;;
01.05.2012;1;INJ;17665.67229;0;4870.00384;0;169.0936286;262937.7993;194.4458031;240;0;0;5241.902486;;;
01.06.2012;1;INJ;17665.67229;0;4870.00384;0;169.5913873;268025.5409;194.4156208;240;0;0;5087.74162;;;
01.07.2012;1;INJ;17665.67229;0;4870.00384;0;170.1055831;273298.814;194.3826243;240;0;0;5273.273075;;;
01.08.2012;1;INJ;17665.67229;0;4870.00384;0;170.6199663;278588.0329;194.3475364;240;0;0;5289.218956;;;
01.09.2012;1;INJ;17665.67229;0;4870.00384;0;171.1151373;283721.487;194.3125919;240;0;0;5133.454119;;;
01.10.2012;1;INJ;17665.67229;0;4870.00384;0;171.6239645;289041.8299;194.275563;240;0;0;5320.342898;;;
01.11.2012;1;INJ;17665.67229;0;4870.00384;0;172.1138241;294205.2447;194.2386656;240;0;0;5163.414723;;;
01.12.2012;1;INJ;17665.67229;0;4870.00384;0;172.6162143;299556.3473;194.1997405;240;0;0;5351.102642;;;
01.01.2013;1;INJ;17665.67229;0;4870.00384;0;173.1156445;304922.9323;194.159798;240;0;0;5366.584979;;;
01.02.2013;1;INJ;17665.67229;0;4870.00384;0;173.5649858;309782.7519;194.1231114;240;0;0;4859.819602;;;
01.03.2013;1;INJ;17665.67229;0;4870.00384;0;174.0586729;315178.5707;194.0820769;240;0;0;5395.81886;;;
01.04.2013;1;INJ;17665.67229;0;4870.00384;0;174.5316357;320414.5198;194.0423509;240;0;0;5235.949072;;;
01.05.2013;1;INJ;17665.67229;0;4870.00384;0;175.0162075;325840.0222;194.0013431;240;0;0;5425.502433;;;
01.06.2013;1;INJ;17665.67229;0;4870.00384;0;175.4808417;331104.4475;193.9616874;240;0;0;5264.42525;;;
01.07.2013;1;INJ;17665.67229;0;4870.00384;0;175.9561175;336559.0871;193.92064;240;0;0;5454.639641;;;
01.08.2013;1;INJ;17665.67229;0;4870.00384;0;176.4273949;342028.3364;193.8793912;240;0;0;5469.249241;;;
01.09.2013;1;INJ;17665.67229;0;4870.00384;0;176.8799355;347334.7344;193.8391902;240;0;0;5306.398065;;;
01.10.2013;1;INJ;17665.67229;0;4870.00384;0;177.3432682;352832.3758;193.7974963;240;0;0;5497.641314;;;
01.11.2013;1;INJ;17665.67229;0;4870.00384;0;177.7879558;358166.0144;193.7568739;240;0;0;5333.638673;;;
01.12.2013;1;INJ;17665.67229;0;4870.00384;0;178.243923;363691.576;193.7145109;240;0;0;5525.561614;;;
01.01.2014;1;INJ;17665.67229;0;4870.00384;0;178.6958031;369231.1459;193.6720047;240;0;0;5539.569897;;;
01.02.2014;1;INJ;17665.67229;0;4870.00384;0;179.1005511;374245.9614;193.6335381;240;0;0;5014.815432;;;
01.03.2014;1;INJ;17665.67229;0;4870.00384;0;179.5436614;379811.8149;193.5911066;240;0;0;5565.853504;;;
01.04.2014;1;INJ;17665.67229;0;4870.00384;0;179.9687371;385210.877;193.5500983;240;0;0;5399.062113;;;
01.05.2014;1;INJ;17665.67229;0;4870.00384;0;180.4049697;390803.431;193.5073053;240;0;0;5592.554061;;;
01.06.2014;1;INJ;17665.67229;0;4870.00384;0;180.8230757;396228.1233;193.4658924;240;0;0;5424.692271;;;
01.07.2014;1;INJ;17665.67229;0;4870.00384;0;181.2504764;401846.8881;193.4232064;240;0;0;5618.764768;;;
01.08.2014;1;INJ;17665.67229;0;4870.00384;0;181.6742631;407478.7902;193.3805234;240;0;0;5631.902157;;;
01.09.2014;1;INJ;17665.67229;0;4870.00384;0;182.0817097;412941.2415;193.3390788;240;0;0;5462.451291;;;
01.10.2014;1;INJ;17665.67229;0;4870.00384;0;182.4996965;418598.7321;193.296025;240;0;0;5657.490593;;;
01.11.2014;1;INJ;17665.67229;0;4870.00384;0;182.9010331;424085.7631;193.2542382;240;0;0;5487.030994;;;
01.12.2014;1;INJ;17665.67229;0;4870.00384;0;183.3147327;429768.5198;193.2102187;240;0;0;5682.756712;;;
01.01.2015;1;INJ;17665.67229;0;4870.00384;0;183.7265036;435464.0414;193.1656644;240;0;0;5695.521611;;;
01.02.2015;1;INJ;17665.67229;0;4870.00384;0;184.0962623;440618.7368;193.1251877;240;0;0;5154.695344;;;
01.03.2015;1;INJ;17665.67229;0;4870.00384;0;184.5028113;446338.3239;193.0801426;240;0;0;5719.587151;;;
01.04.2015;1;INJ;17665.67229;0;4870.00384;0;184.8938161;451885.1384;193.0362906;240;0;0;5546.814483;;;
01.05.2015;1;INJ;17665.67229;0;4870.00384;0;185.2952408;457629.2909;192.9906945;240;0;0;5744.152466;;;
01.06.2015;1;INJ;17665.67229;0;4870.00384;0;185.6819587;463199.7496;192.9461432;240;0;0;5570.45876;;;
