prod_id,inj_id,distance_m,metric_distance_m,direction_factor,direction_cosine,kernel_type,kernel_params,kernel_score,weight,lag,tau,corr,granger_score,mutual_info,psd_corr,conditional_mi,causal_score,overlap,lower_bound,upper_bound,t_diff_days,t_front_days
14,15,794.3034586539395,794.2739212196323,1.0,,idw,{'p': 4.0},10.449543656138275,0.02196064313137928,1,1.0,-0.22515268962688179,0.061526860810793,0.43772871706185923,0.9888796735496237,0.4188941014048544,0.41346306632298824,180,1,2,2.130766939807144,32.130766939807145
14,26,1230.5597590242583,1230.5525573618709,1.0,,idw,{'p': 4.0},10.449543656138275,0.003923952714960045,1,1.0,0.02950472510096409,0.004848827075071696,0.410566507534841,0.9935091533302143,0.38537762345539217,0.38137551592107904,180,1,2,5.114411614458253,35.114411614458255
14,1,1118.3753943682593,1118.3750559755701,1.0,,idw,{'p': 4.0},10.449543656138275,0.006446496164642635,2,2.0,0.07548425027593195,0.0019469663762791355,0.3700019372736346,0.9880273364564416,0.36372195934285434,0.3638457806065046,179,1,2,4.2244510991156705,34.22445109911567
14,34,310.09241643542333,310.0590334609846,1.0,,idw,{'p': 4.0},10.449543656138275,0.864687949823205,2,2.0,-0.10864560706952986,0.0017537698437393547,0.4033291632199951,0.990134412136641,0.3893930580744305,0.37804840954980007,179,1,2,0.324701369838838,30.324701369838838
14,36,637.1978905475836,637.197819925877,1.0,,idw,{'p': 4.0},10.449543656138275,0.10298095816581303,2,2.0,0.30068061393725376,0.014866424990020544,0.361027413972934,0.879603928829511,0.41758235610417843,0.35206961211991633,179,1,2,1.3713360897052156,31.371336089705217
22,24,543.4429840885701,543.4420455348389,1.0,,idw,{'p': 4.0},10.449543656138275,0.10192948340143987,1,1.0,0.9755103554933774,0.00045904715550865215,0.46356428389992665,0.9977794007888725,0.4379488682780666,0.40447816207389053,180,1,2,0.9974745313882376,30.99747453138824
22,1,320.5838383126792,320.5712585171821,1.0,,idw,{'p': 4.0},10.449543656138275,0.8144746121335072,2,2.0,0.882385791335262,0.2995262954454317,0.4149122631647803,0.9975706025502351,0.36461228003987056,0.4835138448713628,179,1,2,0.34709192290589685,30.347091922905896
22,34,605.1450037096977,605.139503845857,1.0,,idw,{'p': 4.0},10.449543656138275,0.07494184321551074,2,2.0,0.9790733032841296,0.6699674173012785,0.474086730251854,0.998784596838129,0.4414876231464268,0.6426946779705935,179,1,2,1.23681958234853,31.23681958234853
22,36,888.7690134658163,888.7661145638938,1.0,,idw,{'p': 4.0},10.449543656138275,0.005007786319769804,2,2.0,0.23997466059606706,0.02894997735066314,0.27876767513312584,0.8440597164739301,0.2260743698136061,0.29648589337949677,179,1,2,2.66790474463078,32.66790474463078
22,7,884.0352822719461,883.934777798475,1.0,,idw,{'p': 4.0},10.449543656138275,0.0036462749297723708,2,2.0,0.13295873391678656,0.03196308218470839,0.2993278297707947,0.6571707290148545,0.23871506400502782,0.26822683309961143,179,1,2,2.6389780962094997,32.6389780962095
23,15,294.06419339642497,293.9430493103894,1.0,,idw,{'p': 4.0},10.449543656138275,0.9400343174110523,1,1.0,-0.38935321243738574,0.07520545556097245,0.4204051111287074,0.988679592790511,0.3712397684440559,0.4058653266096631,180,1,2,0.2918244887516926,30.291824488751693
23,26,603.2916151802211,603.2637341551041,1.0,,idw,{'p': 4.0},10.449543656138275,0.05160666246880257,1,1.0,-0.20337257915348392,0.08166710542716153,0.39199037158735917,0.992466994981356,0.3374659829579479,0.39529389481567767,180,1,2,1.229163850074131,31.22916385007413
23,1,2050.260078178903,2050.2599517559133,1.0,,idw,{'p': 4.0},10.449543656138275,0.00040328226026739616,2,2.0,0.04178389444563297,0.001122588404098084,0.35614920180852105,0.9835721824765264,0.3033221444869884,0.3494504246523442,179,1,2,14.197543246350076,44.19754324635008
23,34,1235.613670460893,1235.5984149511687,1.0,,idw,{'p': 4.0},10.449543656138275,0.0027011158992788858,2,2.0,-0.132362086064997,0.0009374457841913995,0.3888160752143897,0.9870385114987692,0.33155955755233696,0.3641145645213883,179,1,2,5.156440704932322,35.15644070493232
