data_loss,batch_size,physics_weight,physics_loss,physics_crm_residual,physics_nonnegative,physics_cumulative_monotonic,physics_allocation_simplex,physics_shutin_consistency,physics_temporal_smoothness,epoch
169.21566772460938,2.0,0.0,0.0,0.29268953576684,0.030610185116529465,0.0,0.0,0.0,9.492825746536255,1
155.4048309326172,2.0,0.0,0.0,0.03773326799273491,0.01743136439472437,0.0,0.0,0.0,18.2480408847332,1
160.2286376953125,2.0,0.0,0.0,0.19220365956425667,0.005764892906881869,0.0,0.0,0.0,16.02533194422722,1
168.0256805419922,2.0,0.0,0.0,0.31935309432446957,0.0013866958324797451,0.0,0.0,0.0,11.19382531940937,1
168.0231170654297,2.0,0.0,0.0,0.657134473323822,0.0002174711844418198,0.0,0.0,0.0,12.827241897583008,1
152.91571044921875,2.0,0.0,0.0,1.1504734754562378,0.0,0.0,0.0,0.0,16.66119059920311,1
173.80606079101562,2.0,0.0,0.0,0.9096999689936638,0.0,0.0,0.0,0.0,29.03409481048584,1
164.61968994140625,2.0,0.0,0.0,0.23272989690303802,0.0,0.0,0.0,0.0,34.43742561340332,1
175.255615234375,2.0,0.0,0.0,1.959620263427496,0.0,0.0,0.0,0.0,29.47558307647705,1
151.57339477539062,2.0,0.0,0.0,0.3123851977288723,0.0,0.0,1.366428388903615e-16,0.0,0.35892604291439056,1
165.74050903320312,2.0,0.0,0.0,0.7046337872743607,0.0,0.0,0.0,0.0,13.590138494968414,1
175.6510772705078,2.0,0.0,0.0,3.9991557374596596,0.0,0.0,0.0,0.0,27.399889945983887,1
173.20201110839844,2.0,0.0,0.0,10.179020643234253,0.0,0.0,5.46571355561446e-16,0.0,29.696507453918457,2
176.9993133544922,2.0,0.0,0.0,2273.3728890419006,0.0,0.0,0.0,0.0,10.141591429710388,2
166.49407958984375,2.0,0.0,0.0,2.3205063939094543,0.0,0.0,0.0,0.0,33.701120376586914,2
167.59861755371094,2.0,0.0,0.0,15.713555365800858,0.0,0.0,0.0,0.0,9.85525107383728,2
174.0030059814453,2.0,0.0,0.0,975.890495300293,0.0,0.0,0.0,0.0,7.469902992248535,2
157.75576782226562,2.0,0.0,0.0,28.493106842041016,0.0,0.0,0.0,0.0,32.43541145324707,2
152.89227294921875,2.0,0.0,0.0,4.424895823001862,0.0,0.0,0.0,0.0,17.214985013008118,2
170.69557189941406,2.0,0.0,0.0,912.0431785583496,0.0,0.0,0.0,0.0,15.713633298873901,2
166.93003845214844,2.0,0.0,0.0,8860.250507473946,0.0,0.0,1.366428388903615e-16,0.0,20.07470679283142,2
151.7202606201172,2.0,0.0,0.0,2.158460795879364,0.0,0.0,0.0,0.0,0.4716079831123352,2
171.36521911621094,2.0,0.0,0.0,46.323227882385254,0.0,0.0,1.366428388903615e-16,0.0,31.96854877471924,2
149.39341735839844,2.0,0.0,0.0,3.8014004230499268,0.0,0.0,0.0,0.0,0.4954865127801895,2
166.7879180908203,2.0,0.0,0.0,42.659178733825684,0.0,0.0,1.366428388903615e-16,0.0,32.59968948364258,3
167.7718963623047,2.0,0.0,0.0,54374.646484375,0.0,0.0,0.0,0.0,4.919163703918457,3
164.94570922851562,2.0,0.0,0.0,519.8037014007568,0.0,0.0,0.0,0.0,9.990198820829391,3
165.1372528076172,2.0,0.0,0.0,59.68488788604736,0.0,0.0,0.0,0.0,31.385281562805176,3
155.82875061035156,2.0,0.0,0.0,29.742910861968994,0.0,0.0,0.0,0.0,17.278366655111313,3
154.31121826171875,2.0,0.0,0.0,22.571155548095703,0.0,0.0,0.0,0.0,15.963090255856514,3
157.5068817138672,2.0,0.0,0.0,250.95571517944336,0.0,0.0,0.0,0.0,32.71451187133789,3
158.34364318847656,2.0,0.0,0.0,74.71707153320312,0.0,0.0,0.0,0.0,31.86734390258789,3
166.90859985351562,2.0,0.0,0.0,855.3833541870117,0.0,0.0,0.0,0.0,29.784637451171875,3
158.14512634277344,2.0,0.0,0.0,235.76286697387695,0.0,0.0,0.0,0.0,15.019070088863373,3
149.56065368652344,2.0,0.0,0.0,350.17840671539307,0.0,0.0,0.0,0.0,0.7269513010978699,3
172.79922485351562,2.0,0.0,0.0,1514.9642333984375,0.0,0.0,0.0,0.0,26.76551914215088,3
144.68203735351562,2.0,0.0,0.0,60.37109375,0.0,0.0,0.0,0.0,0.5284746885299683,4
155.3911590576172,2.0,0.0,0.0,3456.2918701171875,0.0,0.0,1.366428388903615e-16,0.0,25.953083038330078,4
153.54652404785156,2.0,0.0,0.0,240.074387550354,0.0,0.0,0.0,0.0,17.19148899614811,4
157.27581787109375,2.0,0.0,0.0,614.6346893310547,0.0,0.0,0.0,0.0,12.710752323269844,4
164.2666015625,2.0,0.0,0.0,1614.3058471679688,0.0,0.0,0.0,0.0,31.42885971069336,4
155.28656005859375,2.0,0.0,0.0,1131.6244506835938,0.0,0.0,0.0,0.0,28.811321258544922,4
