unique_id,mae,rmse
33,281.51071811220703,281.5283924721184
31,270.96277949554036,271.4784553560577
40,261.1672144288737,262.2218489701104
27,186.12960371220706,186.7649350057327
3,134.13864259554035,134.550904552569
23,78.28520172595964,78.34879883677691
14,74.91901740995964,74.98592888260069
48,50.67275266220704,52.3689557379262
45,43.6443598811263,44.0289217024621
50,41.620756962792974,41.73917604308445
22,22.023658112207027,22.206961945666126
38,14.535951549459634,14.859044354558753
35,2.659872218470054,3.232306617572843
